sch,rdg,math,sci,sid,schid
4,3.108,7.719,3.755,4536609,45366
4,-0.627,10.536,8.151,4536611,45366
4,17.51,28.659,14.929,4536617,45366
4,9.232,16.335,7.947,4536618,45366
4,14.917,31.978,10.375,4536619,45366
4,19.343,34.073,16.984,4536620,45366
4,20.861,33.106,12.492,4536621,45366
4,3.473,9.961,7.519,4536624,45366
4,1.158,2.435,4.209,4536625,45366
4,11.24,30.253,8.801,4536627,45366
4,14.675,32.618,11.727,4536628,45366
4,0.221,-0.725,3.928,4536629,45366
4,17.189,28.088,2.039,4536630,45366
4,15.28,18.407,14.222,4536631,45366
4,0.36,-1.204,4.158,4536633,45366
4,10.368,31.47,9.007,4536635,45366
4,10.53,19.706,9.973,4536638,45366
4,6.022,17.953,2.92,4536640,45366
4,12.716,26.943,9.885,4536641,45366
4,17.725,23.003,15.843,4536643,45366
4,14.141,24.833,1.69,4536647,45366
4,14.123,31.111,6.454,4536648,45366
4,1.383,18.296,6.449,4536649,45366
4,17.327,36.295,19.619,4536653,45366
4,4.354,-3.266,0.159,4536655,45366
4,10.997,31.15,8.519,4536657,45366
4,15.293,16.694,11.047,4536663,45366
4,17.905,37.082,8.325,4536666,45366
4,7.55,16.973,6.717,4536672,45366
4,10.863,14.207,6.989,4536674,45366
4,1.373,-2.357,3.084,4536678,45366
4,10.332,11.665,7.361,4536681,45366
4,0.203,-1.518,-0.815,4536683,45366
4,20.861,27.525,10.536,4536688,45366
4,7.404,15.266,8.808,4536689,45366
4,14.085,30.545,9.157,4536690,45366
4,17.287,22.464,3.368,4536691,45366
4,16.147,31.57,11.655,4536692,45366
4,18.706,31.672,11.484,4536694,45366
4,10.303,27.801,12.651,4536698,45366
5,20.861,36.033,23.804,4554000,45540
5,1.566,2.769,0.159,4554002,45540
5,11.406,14.365,9.075,4554003,45540
5,1.246,10.123,0.082,4554005,45540
5,9.941,12.131,8.939,4554007,45540
5,3.75,18.353,4.574,4554010,45540
5,10.256,14.751,4.033,4554013,45540
5,7.736,22.276,4.088,4554015,45540
5,15.199,36.094,23.028,4554016,45540
5,4.819,10.551,5.193,4554021,45540
5,11.217,25.036,5.907,4554022,45540
5,14.647,37.439,13.212,4554023,45540
5,18.619,25.942,16.427,4554025,45540
5,-0.627,-0.557,3.327,4554026,45540
5,-0.627,9.669,6.286,4554027,45540
5,4.887,8.661,6.702,4554030,45540
